mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-1275,1.0,1.0,1.0,0,1,0.0,876,26380,0.033206974981046244,0.0
hsa-miR-1276,1.0,1.0,1.0,0,1,0.0,176,26380,0.00667172100075815,0.0
hsa-miR-1277-3p,1.0,1.0,1.0,0,1,0.0,78,26380,0.0029567854435178166,0.0
hsa-miR-1277-5p,1.0,1.0,1.0,0,1,0.0,29,26380,0.0010993176648976498,0.0
hsa-miR-1278,1.0,1.0,1.0,0,1,0.0,9,26380,0.0003411675511751327,0.0
hsa-miR-128-1-5p,1.0,1.0,1.0,0,1,0.0,1730,26380,0.06557998483699773,0.0
hsa-miR-128-2-5p,1.0,1.0,1.0,0,1,0.0,35,26380,0.001326762699014405,0.0
hsa-miR-128-3p,1.0,1.0,1.0,0,1,0.0,4425,26380,0.1677407126611069,0.0
hsa-miR-1282,1.0,1.0,1.0,0,1,0.0,60,26380,0.002274450341167551,0.0
hsa-miR-1283,1.0,1.0,1.0,0,1,0.0,151,26380,0.005724033358605004,0.0
hsa-miR-1284,1.0,1.0,1.0,0,1,0.0,213,26380,0.008074298711144807,0.0
hsa-miR-1285-3p,1.0,1.0,1.0,0,1,0.0,3400,26380,0.1288855193328279,0.0
hsa-miR-1285-5p,1.0,1.0,1.0,0,1,0.0,242,26380,0.009173616376042457,0.0
hsa-miR-1286,1.0,1.0,1.0,0,1,0.0,98,26380,0.0037149355572403337,0.0
hsa-miR-1287-3p,1.0,1.0,1.0,0,1,0.0,254,26380,0.009628506444275967,0.0
hsa-miR-1287-5p,1.0,1.0,1.0,0,1,0.0,1365,26380,0.05174374526156179,0.0
hsa-miR-1288-3p,1.0,1.0,1.0,0,1,0.0,13,26380,0.0004927975739196361,0.0
hsa-miR-129-1-3p,1.0,1.0,1.0,0,1,0.0,633,26380,0.023995451099317666,0.0
hsa-miR-129-2-3p,1.0,1.0,1.0,0,1,0.0,2521,26380,0.09556482183472327,0.0
hsa-miR-129-5p,1.0,1.0,1.0,0,1,0.0,355,26380,0.013457164518574679,0.0
hsa-miR-1290,1.0,1.0,1.0,0,1,0.0,810,26380,0.03070507960576194,0.0
hsa-miR-1291,1.0,1.0,1.0,0,1,0.0,56,26380,0.0021228203184230476,0.0
hsa-miR-1292-5p,1.0,1.0,1.0,0,1,0.0,525,26380,0.01990144048521607,0.0
hsa-miR-1293,1.0,1.0,1.0,0,1,0.0,391,26380,0.014821834723275208,0.0
hsa-miR-1294,1.0,1.0,1.0,0,1,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-1295a,1.0,1.0,1.0,0,1,0.0,54,26380,0.002047005307050796,0.0
hsa-miR-1296-3p,1.0,1.0,1.0,0,1,0.0,104,26380,0.003942380591357089,0.0
hsa-miR-1296-5p,1.0,1.0,1.0,0,1,0.0,1536,26380,0.05822592873388931,0.0
hsa-miR-1297,1.0,1.0,1.0,0,1,0.0,285,26380,0.010803639120545869,0.0
hsa-miR-1298-5p,1.0,1.0,1.0,0,1,0.0,299,26380,0.01133434420015163,0.0
hsa-miR-1299,1.0,1.0,1.0,0,1,0.0,406,26380,0.015390447308567097,0.0
hsa-miR-1301-3p,1.0,1.0,1.0,0,1,0.0,3690,26380,0.13987869598180439,0.0
hsa-miR-1302,1.0,1.0,1.0,0,1,0.0,65,26380,0.0024639878695981803,0.0
hsa-miR-1303,1.0,1.0,1.0,0,1,0.0,475,26380,0.01800606520090978,0.0
hsa-miR-1304-3p,1.0,1.0,1.0,0,1,0.0,1313,26380,0.049772554965883245,0.0
hsa-miR-1304-5p,1.0,1.0,1.0,0,1,0.0,250,26380,0.009476876421531463,0.0
hsa-miR-1305,1.0,1.0,1.0,0,1,0.0,111,26380,0.00420773313115997,0.0
hsa-miR-1306-3p,1.0,1.0,1.0,0,1,0.0,113,26380,0.004283548142532221,0.0
hsa-miR-1306-5p,1.0,1.0,1.0,0,1,0.0,191,26380,0.007240333586050038,0.0
hsa-miR-1307-3p,1.0,1.0,1.0,0,1,0.0,589,26380,0.02232752084912813,0.0
hsa-miR-1307-5p,1.0,1.0,1.0,0,1,0.0,479,26380,0.018157695223654284,0.0
hsa-miR-130a-3p,1.0,1.0,1.0,0,1,0.0,5449,26380,0.20655799848369977,0.0
hsa-miR-130a-5p,1.0,1.0,1.0,0,1,0.0,154,26380,0.005837755875663381,0.0
hsa-miR-130b-3p,1.0,1.0,1.0,0,1,0.0,6426,26380,0.24359363153904473,0.0
hsa-miR-130b-5p,1.0,1.0,1.0,0,1,0.0,1673,26380,0.06341925701288856,0.0
hsa-miR-132-3p,1.0,1.0,1.0,0,1,0.0,3096,26380,0.11736163760424564,0.0
hsa-miR-132-5p,1.0,1.0,1.0,0,1,0.0,349,26380,0.013229719484457923,0.0
hsa-miR-1323,1.0,1.0,1.0,0,1,0.0,72,26380,0.0027293404094010615,0.0
hsa-miR-133a-3p,1.0,1.0,1.0,0,1,0.0,1550,26380,0.05875663381349507,0.0
hsa-miR-133a-5p,1.0,1.0,1.0,0,1,0.0,273,26380,0.010348749052312358,0.0
hsa-miR-133b,1.0,1.0,1.0,0,1,0.0,910,26380,0.03449583017437453,0.0
hsa-miR-134-3p,1.0,1.0,1.0,0,1,0.0,10,26380,0.0003790750568612585,0.0
hsa-miR-134-5p,1.0,1.0,1.0,0,1,0.0,905,26380,0.0343062926459439,0.0
hsa-miR-1343-3p,1.0,1.0,1.0,0,1,0.0,1333,26380,0.05053070507960576,0.0
hsa-miR-135a-2-3p,1.0,1.0,1.0,0,1,0.0,966,26380,0.036618650492797576,0.0
hsa-miR-135a-3p,1.0,1.0,1.0,0,1,0.0,22,26380,0.0008339651250947687,0.0
hsa-miR-135a-5p,1.0,1.0,1.0,0,1,0.0,622,26380,0.02357846853677028,0.0
hsa-miR-135b-3p,1.0,1.0,1.0,0,1,0.0,1894,26380,0.07179681576952236,0.0
hsa-miR-135b-5p,1.0,1.0,1.0,0,1,0.0,2146,26380,0.08134950720242608,0.0
hsa-miR-136-3p,1.0,1.0,1.0,0,1,0.0,686,26380,0.026004548900682337,0.0
hsa-miR-136-5p,1.0,1.0,1.0,0,1,0.0,307,26380,0.011637604245640637,0.0
